GEO_ID,NAME,TOTAL,OCCUPIED,VACANT
20001,"Allen County, Kansas",6054,5273,781
20003,"Anderson County, Kansas",3556,3108,448
20005,"Atchison County, Kansas",6814,6109,705
20007,"Barber County, Kansas",2574,1916,658
20009,"Barton County, Kansas",12370,10640,1730
20011,"Bourbon County, Kansas",6770,5666,1104
20013,"Brown County, Kansas",4482,3841,641
20015,"Butler County, Kansas",26901,24660,2241
20017,"Chase County, Kansas",1397,1056,341
20019,"Chautauqua County, Kansas",1976,1401,575
20021,"Cherokee County, Kansas",9113,7853,1260
20023,"Cheyenne County, Kansas",1464,1181,283
20025,"Clark County, Kansas",1042,836,206
20027,"Clay County, Kansas",3933,3388,545
20029,"Cloud County, Kansas",4503,3665,838
20031,"Coffey County, Kansas",3959,3477,482
20033,"Comanche County, Kansas",938,747,191
20035,"Cowley County, Kansas",15558,13322,2236
20037,"Crawford County, Kansas",17997,15668,2329
20039,"Decatur County, Kansas",1640,1295,345
20041,"Dickinson County, Kansas",8778,7644,1134
20043,"Doniphan County, Kansas",3364,2942,422
20045,"Douglas County, Kansas",52846,48553,4293
20047,"Edwards County, Kansas",1550,1257,293
20049,"Elk County, Kansas",1491,1094,397
20051,"Ellis County, Kansas",13166,11853,1313
20053,"Ellsworth County, Kansas",3080,2352,728
20055,"Finney County, Kansas",14185,13064,1121
20057,"Ford County, Kansas",12550,11376,1174
20059,"Franklin County, Kansas",11149,10233,916
20061,"Geary County, Kansas",15928,13488,2440
20063,"Gove County, Kansas",1319,1120,199
20065,"Graham County, Kansas",1422,1103,319
20067,"Grant County, Kansas",2930,2621,309
20069,"Gray County, Kansas",2327,2092,235
20071,"Greeley County, Kansas",638,531,107
20073,"Greenwood County, Kansas",3666,2687,979
20075,"Hamilton County, Kansas",1106,933,173
20077,"Harper County, Kansas",3027,2347,680
20079,"Harvey County, Kansas",14569,13363,1206
20081,"Haskell County, Kansas",1545,1345,200
20083,"Hodgeman County, Kansas",842,724,118
20085,"Jackson County, Kansas",5583,5036,547
20087,"Jefferson County, Kansas",7911,7209,702
20089,"Jewell County, Kansas",1763,1346,417
20091,"Johnson County, Kansas",251681,239492,12189
20093,"Kearny County, Kansas",1581,1427,154
20095,"Kingman County, Kansas",3647,3155,492
20097,"Kiowa County, Kansas",1153,965,188
20099,"Labette County, Kansas",9524,8222,1302
20101,"Lane County, Kansas",895,736,159
20103,"Leavenworth County, Kansas",31219,28916,2303
20105,"Lincoln County, Kansas",1672,1291,381
20107,"Linn County, Kansas",5065,3982,1083
20109,"Logan County, Kansas",1369,1181,188
20111,"Lyon County, Kansas",14957,13183,1774
20113,"McPherson County, Kansas",13019,11897,1122
20115,"Marion County, Kansas",5671,4786,885
20117,"Marshall County, Kansas",4762,4195,567
20119,"Meade County, Kansas",1900,1584,316
20121,"Miami County, Kansas",13865,12926,939
20123,"Mitchell County, Kansas",3124,2543,581
20125,"Montgomery County, Kansas",15569,12968,2601
20127,"Morris County, Kansas",2996,2294,702
20129,"Morton County, Kansas",1316,1053,263
20131,"Nemaha County, Kansas",4490,4040,450
20133,"Neosho County, Kansas",7211,6300,911
20135,"Ness County, Kansas",1548,1216,332
20137,"Norton County, Kansas",2461,1991,470
20139,"Osage County, Kansas",7233,6480,753
20141,"Osborne County, Kansas",2044,1563,481
20143,"Ottawa County, Kansas",2681,2318,363
20145,"Pawnee County, Kansas",3055,2455,600
20147,"Phillips County, Kansas",2794,2200,594
20149,"Pottawatomie County, Kansas",9866,9050,816
20151,"Pratt County, Kansas",4388,3677,711
20153,"Rawlins County, Kansas",1364,1129,235
20155,"Reno County, Kansas",28289,25189,3100
20157,"Republic County, Kansas",2676,2132,544
20159,"Rice County, Kansas",4377,3744,633
20161,"Riley County, Kansas",30477,26711,3766
20163,"Rooks County, Kansas",2638,2109,529
20165,"Rush County, Kansas",1663,1322,341
20167,"Russell County, Kansas",3675,2956,719
20169,"Saline County, Kansas",24076,22250,1826
20171,"Scott County, Kansas",2260,2013,247
20173,"Sedgwick County, Kansas",223640,205247,18393
20175,"Seward County, Kansas",8268,7359,909
20177,"Shawnee County, Kansas",80512,73453,7059
20179,"Sheridan County, Kansas",1152,1020,132
20181,"Sherman County, Kansas",2934,2447,487
20183,"Smith County, Kansas",2026,1627,399
20185,"Stafford County, Kansas",2088,1739,349
20187,"Stanton County, Kansas",931,783,148
20189,"Stevens County, Kansas",2240,1905,335
20191,"Sumner County, Kansas",10324,9028,1296
20193,"Thomas County, Kansas",3573,3162,411
20195,"Trego County, Kansas",1611,1283,328
20197,"Wabaunsee County, Kansas",3110,2659,451
20199,"Wallace County, Kansas",740,608,132
20201,"Washington County, Kansas",2726,2312,414
20203,"Wichita County, Kansas",999,846,153
20205,"Wilson County, Kansas",4485,3636,849
20207,"Woodson County, Kansas",1828,1355,473
20209,"Wyandotte County, Kansas",68475,61835,6640