Country Name,Country Code,2019 Arrivals,CA Arrival Ratio
Antigua and Barbuda,ATG,1035000,0.007063014372
"Bahamas, The",BHS,7250000,0.04947522144
Belize,BLZ,1674000,0.01142365803
Barbados,BRB,966000,0.006592146747
Costa Rica,CRI,3366000,0.02297015109
Cuba,CUB,4276000,0.0291801444
Cayman Islands,CYM,2334000,0.01592760922
Dominica,DMA,322000,0.002197382249
Dominican Republic,DOM,7550000,0.05152247199
Grenada,GRD,526000,0.003589512618
Guatemala,GTM,2560000,0.0174698713
Honduras,HND,2315000,0.01579795002
Haiti,HTI,938000,0.00640107003
Jamaica,JAM,4233000,0.02888670515
St. Kitts and Nevis,KNA,1107000,0.007554354502
St. Lucia,LCA,1220000,0.00832548554
Mexico,MEX,97406000,0.6647149545
Nicaragua,NIC,1455000,0.009929165131
Panama,PAN,2494000,0.01701947618
El Salvador,SLV,2639000,0.01800898061
Trinidad and Tobago,TTO,480000,0.003275600868
St. Vincent and the Grenadines,VCT,392000,0.002675074042